
================ Hyper-parameters ================

TRAIN_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_update_20190418/entity_aware_train
DEV_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_update_20190418/entity_aware_dev
TRAIN_FEATURES_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_update_20190418/
DEV_FEATURES_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_update_20190418/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=None
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=True
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-18T06:19:06.600929: step 10, loss 16.0425, acc 0.2
2019-04-18T06:19:13.654487: step 20, loss 15.9168, acc 0.232692
2019-04-18T06:19:20.695826: step 30, loss 16.0047, acc 0.175
2019-04-18T06:19:27.732455: step 40, loss 15.3487, acc 0.315385
2019-04-18T06:19:34.690182: step 50, loss 15.0865, acc 0.367308
2019-04-18T06:19:41.674213: step 60, loss 14.9701, acc 0.373077
2019-04-18T06:19:48.730213: step 70, loss 14.8964, acc 0.367308
2019-04-18T06:19:55.679523: step 80, loss 14.771, acc 0.401923
2019-04-18T06:20:02.692915: step 90, loss 14.7453, acc 0.425
2019-04-18T06:20:09.613503: step 100, loss 14.6516, acc 0.446154
2019-04-18T06:20:16.601355: step 110, loss 14.8241, acc 0.409615
2019-04-18T06:20:23.594374: step 120, loss 14.5633, acc 0.511538
2019-04-18T06:20:30.661098: step 130, loss 14.5667, acc 0.515385
2019-04-18T06:20:37.759134: step 140, loss 14.4081, acc 0.553846
2019-04-18T06:20:44.779026: step 150, loss 14.4507, acc 0.553846
2019-04-18T06:20:51.865414: step 160, loss 14.3608, acc 0.601923
2019-04-18T06:20:58.877228: step 170, loss 14.3558, acc 0.567308
2019-04-18T06:21:05.873650: step 180, loss 14.1566, acc 0.651923
2019-04-18T06:21:12.924534: step 190, loss 14.2969, acc 0.605769
2019-04-18T06:21:19.971969: step 200, loss 14.2689, acc 0.582692
2019-04-18T06:21:26.986631: step 210, loss 14.1723, acc 0.640385
2019-04-18T06:21:33.920605: step 220, loss 14.3347, acc 0.613462
2019-04-18T06:21:40.913923: step 230, loss 14.1727, acc 0.640385
