
================ Hyper-parameters ================

TRAIN_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_attach_sub_obj_markets/add_other_relationship_and_attach_sub_obj_markets_train
DEV_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_attach_sub_obj_markets/add_other_relationship_and_attach_sub_obj_markets_dev
TRAIN_FEATURES_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_attach_sub_obj_markets/
DEV_FEATURES_PATH=./entity_aware_dataset_lic2019_information_extraction/classification_3.0_50_relationship_attach_sub_obj_markets/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=None
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=True
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-19T04:50:25.581555: step 10, loss 16.1988, acc 0.157692
2019-04-19T04:50:32.555980: step 20, loss 16.0064, acc 0.203846
2019-04-19T04:50:39.587196: step 30, loss 15.8686, acc 0.184615
2019-04-19T04:50:46.599320: step 40, loss 15.4994, acc 0.280769
2019-04-19T04:50:53.582785: step 50, loss 15.0315, acc 0.428846
2019-04-19T04:51:00.561294: step 60, loss 14.9161, acc 0.448077
2019-04-19T04:51:07.515341: step 70, loss 14.8346, acc 0.505769
2019-04-19T04:51:14.570102: step 80, loss 14.7238, acc 0.553846
2019-04-19T04:51:21.534442: step 90, loss 14.4862, acc 0.586538
2019-04-19T04:51:28.534210: step 100, loss 14.3425, acc 0.634615
2019-04-19T04:51:35.530395: step 110, loss 14.3594, acc 0.605769
2019-04-19T04:51:42.547658: step 120, loss 14.3079, acc 0.632692
2019-04-19T04:51:49.553806: step 130, loss 14.323, acc 0.644231
2019-04-19T04:51:56.547413: step 140, loss 14.2711, acc 0.659615
2019-04-19T04:52:03.549726: step 150, loss 14.3182, acc 0.632692
2019-04-19T04:52:10.539069: step 160, loss 14.1731, acc 0.663462
2019-04-19T04:52:17.514047: step 170, loss 14.1778, acc 0.682692
2019-04-19T04:52:24.560917: step 180, loss 14.2421, acc 0.657692
2019-04-19T04:52:31.560195: step 190, loss 14.0319, acc 0.701923
2019-04-19T04:52:38.490001: step 200, loss 14.0748, acc 0.690385
2019-04-19T04:52:45.459353: step 210, loss 14.137, acc 0.665385
2019-04-19T04:52:52.461620: step 220, loss 14.0108, acc 0.707692
2019-04-19T04:52:59.482387: step 230, loss 14.0725, acc 0.682692
2019-04-19T04:53:06.491897: step 240, loss 14.0502, acc 0.682692
2019-04-19T04:53:13.503106: step 250, loss 13.9151, acc 0.734615
