
================ Hyper-parameters ================

TRAIN_PATH=./data/update_20190419/train
DEV_PATH=./data/update_20190419/dev
TEST_PATH=./data/update_20190419/test
TRAIN_FEATURES_PATH=./data/update_20190419/
DEV_FEATURES_PATH=./data/update_20190419/
TEST_FEATURES_PATH=./data/update_20190419/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=None
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
TEST_BATCH_SIZE=256
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=False
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-22T16:17:58.351699: step 10, loss 16.4272, acc 0.0923077
2019-04-22T16:18:02.008459: step 20, loss 16.0478, acc 0.2
2019-04-22T16:18:05.652084: step 30, loss 15.8213, acc 0.267308
2019-04-22T16:18:09.297642: step 40, loss 15.7087, acc 0.317308
2019-04-22T16:18:12.983957: step 50, loss 15.1264, acc 0.415385
2019-04-22T16:18:16.735486: step 60, loss 14.9318, acc 0.475
2019-04-22T16:18:20.453591: step 70, loss 14.7772, acc 0.507692
2019-04-22T16:18:24.071443: step 80, loss 14.6141, acc 0.559615
2019-04-22T16:18:27.755282: step 90, loss 14.6034, acc 0.569231
2019-04-22T16:18:31.390904: step 100, loss 14.3712, acc 0.632692
2019-04-22T16:18:35.088186: step 110, loss 14.4201, acc 0.628846
2019-04-22T16:18:38.815495: step 120, loss 14.2681, acc 0.653846
2019-04-22T16:18:42.492843: step 130, loss 14.4249, acc 0.607692
2019-04-22T16:18:46.244710: step 140, loss 14.1847, acc 0.678846
2019-04-22T16:18:49.913697: step 150, loss 14.377, acc 0.613462
2019-04-22T16:18:53.635754: step 160, loss 14.1791, acc 0.663462
