
================ Hyper-parameters ================

TRAIN_PATH=./data/update_20190423/train
DEV_PATH=./data/update_20190423/dev
TEST_PATH=./data/update_20190423/test
TRAIN_FEATURES_PATH=./data/update_20190423/
DEV_FEATURES_PATH=./data/update_20190423/
TEST_FEATURES_PATH=./data/update_20190423/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=baidubaike
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
TEST_BATCH_SIZE=256
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=False
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-24T22:11:53.776984: step 10, loss 12.4012, acc 0.459615
2019-04-24T22:11:57.384627: step 20, loss 12.2498, acc 0.45
2019-04-24T22:12:00.955671: step 30, loss 11.8992, acc 0.519231
2019-04-24T22:12:04.561350: step 40, loss 11.5936, acc 0.584615
2019-04-24T22:12:08.155517: step 50, loss 11.5347, acc 0.578846
2019-04-24T22:12:12.073761: step 60, loss 11.6016, acc 0.567308
2019-04-24T22:12:16.219868: step 70, loss 11.2946, acc 0.675
2019-04-24T22:12:20.545175: step 80, loss 11.3375, acc 0.661538
2019-04-24T22:12:24.676241: step 90, loss 11.2206, acc 0.694231
2019-04-24T22:12:28.824363: step 100, loss 11.2427, acc 0.684615
2019-04-24T22:12:33.062809: step 110, loss 11.1611, acc 0.725
2019-04-24T22:12:37.223129: step 120, loss 11.1808, acc 0.686538
2019-04-24T22:12:41.386660: step 130, loss 10.9179, acc 0.771154
2019-04-24T22:12:45.597070: step 140, loss 11.1881, acc 0.680769
2019-04-24T22:12:49.784064: step 150, loss 10.8999, acc 0.792308
2019-04-24T22:12:53.874228: step 160, loss 10.93, acc 0.782692
2019-04-24T22:12:58.100165: step 170, loss 10.9568, acc 0.767308
2019-04-24T22:13:02.272378: step 180, loss 10.8944, acc 0.788462
2019-04-24T22:13:06.432833: step 190, loss 10.8953, acc 0.792308
2019-04-24T22:13:10.682321: step 200, loss 10.8734, acc 0.803846
2019-04-24T22:13:14.847349: step 210, loss 10.8442, acc 0.796154
2019-04-24T22:13:19.019012: step 220, loss 10.8101, acc 0.809615
2019-04-24T22:13:23.295354: step 230, loss 10.7921, acc 0.817308
2019-04-24T22:13:27.467527: step 240, loss 10.7301, acc 0.819231
2019-04-24T22:13:31.608493: step 250, loss 10.7939, acc 0.784615
2019-04-24T22:13:35.856387: step 260, loss 10.6767, acc 0.848077
2019-04-24T22:13:40.047661: step 270, loss 10.7364, acc 0.817308
2019-04-24T22:13:44.100336: step 280, loss 10.7214, acc 0.823077
2019-04-24T22:13:48.355971: step 290, loss 10.7197, acc 0.830769
2019-04-24T22:13:52.533685: step 300, loss 10.6306, acc 0.857692
2019-04-24T22:13:56.623876: step 310, loss 10.6977, acc 0.825
2019-04-24T22:14:00.912603: step 320, loss 10.7094, acc 0.830769
2019-04-24T22:14:05.328171: step 330, loss 10.6521, acc 0.848077
2019-04-24T22:14:09.489833: step 340, loss 10.6823, acc 0.821154
2019-04-24T22:14:13.696567: step 350, loss 10.7317, acc 0.846154
2019-04-24T22:14:17.945266: step 360, loss 10.6047, acc 0.844231
2019-04-24T22:14:22.061949: step 370, loss 10.5402, acc 0.871154
2019-04-24T22:14:26.282279: step 380, loss 10.6448, acc 0.848077
2019-04-24T22:14:30.424712: step 390, loss 10.6147, acc 0.838462
2019-04-24T22:14:34.521137: step 400, loss 10.6328, acc 0.842308
2019-04-24T22:14:38.706370: step 410, loss 10.5671, acc 0.863462
2019-04-24T22:14:42.912053: step 420, loss 10.5605, acc 0.867308
2019-04-24T22:14:46.977171: step 430, loss 10.5907, acc 0.869231
2019-04-24T22:14:51.148272: step 440, loss 10.5958, acc 0.861538
2019-04-24T22:14:55.295871: step 450, loss 10.6203, acc 0.85
2019-04-24T22:14:59.396456: step 460, loss 10.5708, acc 0.859615
2019-04-24T22:15:03.500125: step 470, loss 10.605, acc 0.855769
2019-04-24T22:15:07.626753: step 480, loss 10.5399, acc 0.869231
2019-04-24T22:15:11.749728: step 490, loss 10.5618, acc 0.861538
2019-04-24T22:15:15.848581: step 500, loss 10.6454, acc 0.840385
2019-04-24T22:15:20.032445: step 510, loss 10.5543, acc 0.851923
2019-04-24T22:15:24.061540: step 520, loss 10.4869, acc 0.878846
2019-04-24T22:15:28.207965: step 530, loss 10.4762, acc 0.890385
2019-04-24T22:15:32.361347: step 540, loss 10.5597, acc 0.876923
2019-04-24T22:15:36.494196: step 550, loss 10.5142, acc 0.882692
2019-04-24T22:15:40.641330: step 560, loss 10.5475, acc 0.861538
2019-04-24T22:15:44.822307: step 570, loss 10.512, acc 0.880769
2019-04-24T22:15:48.868095: step 580, loss 10.5642, acc 0.865385
2019-04-24T22:15:52.998866: step 590, loss 10.5799, acc 0.867308
2019-04-24T22:15:57.165204: step 600, loss 10.6022, acc 0.840385
2019-04-24T22:16:01.225150: step 610, loss 10.5842, acc 0.855769
2019-04-24T22:16:05.351932: step 620, loss 10.51, acc 0.869231
2019-04-24T22:16:09.516842: step 630, loss 10.5154, acc 0.869231
2019-04-24T22:16:13.567399: step 640, loss 10.4613, acc 0.886538
2019-04-24T22:16:17.705138: step 650, loss 10.516, acc 0.861538
2019-04-24T22:16:21.852531: step 660, loss 10.4929, acc 0.855769
2019-04-24T22:16:25.924104: step 670, loss 10.4337, acc 0.880769
2019-04-24T22:16:30.050876: step 680, loss 10.4212, acc 0.876923
2019-04-24T22:16:34.180331: step 690, loss 10.4746, acc 0.871154
2019-04-24T22:16:38.243823: step 700, loss 10.4887, acc 0.867308
2019-04-24T22:16:42.379100: step 710, loss 10.4911, acc 0.867308
2019-04-24T22:16:46.597922: step 720, loss 10.4417, acc 0.898077
2019-04-24T22:16:50.710476: step 730, loss 10.5041, acc 0.851923
2019-04-24T22:16:54.839243: step 740, loss 10.4789, acc 0.886538
2019-04-24T22:16:58.954807: step 750, loss 10.4572, acc 0.888462
2019-04-24T22:17:03.040240: step 760, loss 10.4728, acc 0.880769
2019-04-24T22:17:07.199382: step 770, loss 10.3377, acc 0.903846
2019-04-24T22:17:11.378092: step 780, loss 10.4152, acc 0.9
2019-04-24T22:17:15.381949: step 790, loss 10.3782, acc 0.890385
2019-04-24T22:17:19.533209: step 800, loss 10.3734, acc 0.892308
2019-04-24T22:17:23.723419: step 810, loss 10.4235, acc 0.880769
2019-04-24T22:17:27.787394: step 820, loss 10.3918, acc 0.886538
2019-04-24T22:17:31.904159: step 830, loss 10.3796, acc 0.907692
2019-04-24T22:17:36.069647: step 840, loss 10.5204, acc 0.863462
2019-04-24T22:17:40.146616: step 850, loss 10.4057, acc 0.884615
2019-04-24T22:17:44.277037: step 860, loss 10.4227, acc 0.863462
2019-04-24T22:17:48.461618: step 870, loss 10.3896, acc 0.898077
2019-04-24T22:17:52.535862: step 880, loss 10.3481, acc 0.911538
2019-04-24T22:17:56.689701: step 890, loss 10.3692, acc 0.892308
2019-04-24T22:18:00.900857: step 900, loss 10.3483, acc 0.898077
2019-04-24T22:18:04.965070: step 910, loss 10.397, acc 0.9
2019-04-24T22:18:09.144453: step 920, loss 10.4473, acc 0.875
2019-04-24T22:18:13.290654: step 930, loss 10.4372, acc 0.873077
2019-04-24T22:18:17.338702: step 940, loss 10.3928, acc 0.892308
2019-04-24T22:18:21.489341: step 950, loss 10.3624, acc 0.9
2019-04-24T22:18:25.672068: step 960, loss 10.3213, acc 0.909615
2019-04-24T22:18:29.701481: step 970, loss 10.3521, acc 0.901923
2019-04-24T22:18:33.691720: step 980, loss 10.299, acc 0.913462
2019-04-24T22:18:37.395260: step 990, loss 10.2958, acc 0.915385
2019-04-24T22:18:41.053421: step 1000, loss 10.3738, acc 0.888462

Evaluation:
2019-04-24T22:18:54.192123: step 1000, loss 10.6963, acc 0.843546
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.759668%
macro-averaged Recall = 0.714003%
macro-averaged F1-score = 0.725431%, Best = 0.725431%

2019-04-24T22:19:10.224785: step 1010, loss 10.3665, acc 0.896154
2019-04-24T22:19:13.845986: step 1020, loss 10.3342, acc 0.898077
2019-04-24T22:19:17.550729: step 1030, loss 10.3339, acc 0.898077
2019-04-24T22:19:21.216885: step 1040, loss 10.3388, acc 0.896154
2019-04-24T22:19:24.862715: step 1050, loss 10.3661, acc 0.894231
2019-04-24T22:19:28.490239: step 1060, loss 10.3708, acc 0.888462
2019-04-24T22:19:32.149320: step 1070, loss 10.3535, acc 0.882692
2019-04-24T22:19:35.748130: step 1080, loss 10.3687, acc 0.886538
2019-04-24T22:19:39.347898: step 1090, loss 10.2738, acc 0.905769
2019-04-24T22:19:43.021799: step 1100, loss 10.2934, acc 0.903846
2019-04-24T22:19:46.648746: step 1110, loss 10.2687, acc 0.907692
2019-04-24T22:19:50.268612: step 1120, loss 10.3082, acc 0.9
2019-04-24T22:19:53.958958: step 1130, loss 10.3288, acc 0.901923
2019-04-24T22:19:57.558017: step 1140, loss 10.3693, acc 0.888462
2019-04-24T22:20:01.210591: step 1150, loss 10.3206, acc 0.896154
2019-04-24T22:20:04.824793: step 1160, loss 10.29, acc 0.888462
2019-04-24T22:20:08.432013: step 1170, loss 10.2811, acc 0.907692
2019-04-24T22:20:12.111352: step 1180, loss 10.29, acc 0.9
2019-04-24T22:20:15.813482: step 1190, loss 10.3294, acc 0.882692
2019-04-24T22:20:19.467045: step 1200, loss 10.2904, acc 0.903846
2019-04-24T22:20:23.135070: step 1210, loss 10.3364, acc 0.898077
2019-04-24T22:20:26.801024: step 1220, loss 10.3064, acc 0.903846
2019-04-24T22:20:30.449418: step 1230, loss 10.2751, acc 0.909615
2019-04-24T22:20:34.175521: step 1240, loss 10.3194, acc 0.880769
2019-04-24T22:20:37.829780: step 1250, loss 10.322, acc 0.880769
2019-04-24T22:20:41.846188: step 1260, loss 10.2579, acc 0.896154
2019-04-24T22:20:45.480500: step 1270, loss 10.2597, acc 0.898077
2019-04-24T22:20:49.174123: step 1280, loss 10.2813, acc 0.898077
2019-04-24T22:20:52.902475: step 1290, loss 10.2674, acc 0.907692
2019-04-24T22:20:56.606806: step 1300, loss 10.2144, acc 0.923077
2019-04-24T22:21:00.333763: step 1310, loss 10.2326, acc 0.913462
2019-04-24T22:21:03.947138: step 1320, loss 10.192, acc 0.921154
2019-04-24T22:21:07.572737: step 1330, loss 10.1724, acc 0.932692
2019-04-24T22:21:11.237053: step 1340, loss 10.237, acc 0.9
2019-04-24T22:21:14.835074: step 1350, loss 10.3335, acc 0.871154
2019-04-24T22:21:18.492697: step 1360, loss 10.1999, acc 0.932692
2019-04-24T22:21:22.132459: step 1370, loss 10.2301, acc 0.909615
2019-04-24T22:21:25.816938: step 1380, loss 10.2858, acc 0.896154
2019-04-24T22:21:29.478574: step 1390, loss 10.2909, acc 0.884615
2019-04-24T22:21:33.187044: step 1400, loss 10.1547, acc 0.928846
2019-04-24T22:21:36.834332: step 1410, loss 10.1778, acc 0.915385
2019-04-24T22:21:40.509254: step 1420, loss 10.2488, acc 0.905769
2019-04-24T22:21:44.168677: step 1430, loss 10.1852, acc 0.919231
2019-04-24T22:21:47.850690: step 1440, loss 10.2113, acc 0.917308
